YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 04 02 11  63  9.3 11.0 99.00 99.00 99.00 999 1010.5   1.7   1.3 999.0 99.0
1999 04 02 12  62  8.9 10.8 99.00 99.00 99.00 999 1010.8   1.7   1.3 999.0 99.0
1999 04 02 13  67  9.2 10.7  1.73  7.14  4.92 999 1010.5   1.9   1.2 999.0 99.0
1999 04 02 14  73  8.7 10.5 99.00 99.00 99.00 999 1010.1   2.0   1.2 999.0 99.0
1999 04 02 15  65  7.6  8.8 99.00 99.00 99.00 999 1010.1   2.0   1.2 999.0 99.0
1999 04 02 16  59  6.4  7.4  1.52  7.14  4.84 999 1009.9   2.0   1.2 999.0 99.0
1999 04 02 17  35  5.3  6.1  1.44  7.14  4.91 999 1009.9   2.0   1.3 999.0 99.0
1999 04 02 18  26  7.0 10.2  1.31  7.14  4.64 999 1009.6   2.0   1.3 999.0 99.0
1999 04 02 19  32  7.8  9.3  1.29  7.69  4.76 999 1009.4   2.0   1.3 999.0 99.0
1999 04 02 20  26  8.0  9.9  1.43  7.14  4.73 999 1009.3   1.9   1.3 999.0 99.0
1999 04 02 21  23  8.7 10.8  1.34  7.14  4.50 999 1009.9   1.6   1.3 999.0 99.0
1999 04 02 22  20 10.5 12.6  1.60  6.67  4.71 999 1010.3   1.3   1.3 999.0 99.0
1999 04 02 23  21 11.3 14.0  1.74  5.56  4.65 999 1010.9   1.3   1.3 999.0 99.0
1999 04 03 00  29 10.2 12.0  1.85  5.88  4.72 999 1012.0   1.2   1.3 999.0 99.0
1999 04 03 01  35  9.6 11.5  1.50  5.56  4.60 999 1012.6    .9   1.3 999.0 99.0
1999 04 03 02  34  9.7 11.3  1.81  6.67  4.78 999 1013.4    .5   1.3 999.0 99.0
1999 04 03 03  34 10.3 12.2  1.71  6.67  4.73 999 1013.8    .0   1.3 999.0 99.0
1999 04 03 04  32  9.5 11.1  1.88  6.67  4.86 999 1014.5   -.3   1.3 999.0 99.0
1999 04 03 05  32  8.6 10.3  1.66  6.25  4.62 999 1014.3   -.4   1.2 999.0 99.0
1999 04 03 06  38  6.9  8.0  1.72  6.25  4.69 999 1013.7   -.7   1.2 999.0 99.0
1999 04 03 07  35  8.7 10.7  1.58  6.67  4.68 999 1014.3   -.7   1.2 999.0 99.0
1999 04 03 08  35  8.0  9.3  1.61  5.56  4.70 999 1014.5   -.7   1.2 999.0 99.0
1999 04 03 09  49  7.6  9.2  1.67  6.67  4.77 999 1015.1   -.8   1.2 999.0 99.0
1999 04 03 10  23  9.5 11.0  1.54  6.25  4.61 999 1014.8  -1.1   1.2 999.0 99.0
1999 04 03 11  39 10.5 12.3  1.62  6.25  4.61 999 1014.7  -1.4   1.2 999.0 99.0
1999 04 03 12  36 10.8 13.2  1.63  6.67  4.63 999 1014.8  -1.4   1.2 999.0 99.0
1999 04 03 13  36  8.5  9.9  1.76  7.14  4.70 999 1015.9  -1.5   1.2 999.0 99.0
1999 04 03 14  39  9.8 12.0  1.76  5.56  4.79 999 1015.9  -1.5   1.2 999.0 99.0
1999 04 03 15  40 10.5 12.3  1.76  6.25  4.68 999 1015.9  -1.4   1.2 999.0 99.0
1999 04 03 16  42 11.5 14.3  1.83  5.56  4.69 999 1015.5  -1.5   1.2 999.0 99.0
1999 04 03 17  47 11.2 13.4  1.83  5.88  4.73 999 1015.7  -1.2   1.2 999.0 99.0
1999 04 03 18  48 11.1 13.0  2.07  6.67  4.88 999 1015.9  -1.0   1.2 999.0 99.0
1999 04 03 19  53 12.0 14.1  2.05  6.25  4.84 999 1015.4   -.4   1.2 999.0 99.0
1999 04 03 20  55 13.1 15.2  2.37  6.25  5.15 999 1015.7    .0   1.2 999.0 99.0
1999 04 03 21  57 13.6 16.5  2.47  6.67  5.22 999 1016.0    .4   1.2 999.0 99.0
1999 04 03 22  57 13.6 17.1  2.71  7.14  5.42 999 1016.6    .5   1.2 999.0 99.0
1999 04 03 23  57 13.6 17.2  2.89  7.69  5.64 999 1016.7    .8   1.3 999.0 99.0
1999 04 04 00  57 15.4 18.9  2.85  7.69  5.57 999 1015.8   1.2   1.3 999.0 99.0
1999 04 04 01  62 14.8 18.6  3.37  8.33  5.88 999 1015.8   1.3   1.3 999.0 99.0
1999 04 04 02  63 14.9 18.5  3.17  8.33  5.93 999 1016.1   1.6   1.3 999.0 99.0
1999 04 04 03  65 13.9 16.9  3.27  8.33  6.07 999 1016.1   1.6   1.3 999.0 99.0
1999 04 04 04  66 14.5 18.2  3.44  8.33  5.99 999 1015.1   1.6   1.3 999.0 99.0
1999 04 04 05  68 13.8 16.5  3.57  8.33  6.29 999 1014.8   1.6   1.3 999.0 99.0
1999 04 04 06  71 13.0 16.0  3.25  8.33  5.99 999 1014.6   1.7   1.3 999.0 99.0
1999 04 04 07  69 14.8 18.3  3.22  8.33  6.06 999 1013.6   1.6   1.3 999.0 99.0
1999 04 04 08  74 13.7 16.2  3.14  8.33  5.83 999 1012.5   1.6   1.3 999.0 99.0
1999 04 04 09  73 13.6 16.4  3.28  8.33  5.93 999 1012.3   1.6   1.3 999.0 99.0
1999 04 04 10  80 13.4 16.6  3.29  8.33  6.13 999 1012.2   1.7   1.3 999.0 99.0
1999 04 04 11  74 14.6 18.5  3.15  7.69  5.76 999 1010.6   1.8   1.3 999.0 99.0
1999 04 04 12  78 13.8 16.1  3.07  8.33  5.86 999 1010.1   1.9   1.3 999.0 99.0
1999 04 04 13 103  8.9 10.7  3.10  8.33  5.95 999 1013.9   1.7   1.3 999.0 99.0
1999 04 04 14  83  9.6 11.6  2.94  8.33  6.07 999 1013.4   1.6   1.3 999.0 99.0
1999 04 04 15  76 10.7 13.0  2.86  9.09  6.15 999 1012.6   1.3   1.3 999.0 99.0
1999 04 04 16  82 10.1 12.8  2.44  8.33  5.78 999 1012.2   1.6   1.3 999.0 99.0
1999 04 04 17  85  9.9 11.7  2.49  7.69  5.77 999 1014.3   1.7   1.3 999.0 99.0
1999 04 04 18  84  8.7 10.0  2.47  8.33  5.82 999 1015.4   1.9   1.4 999.0 99.0
1999 04 04 19  83  7.6  9.1  2.45  8.33  5.97 999 1015.7   2.0   1.3 999.0 99.0
1999 04 04 20  82  9.0 10.6  2.08  8.33  5.77 999 1016.4   1.7   1.3 999.0 99.0
1999 04 04 21  84  9.6 11.4  2.13  8.33  5.73 999 1016.8   1.7   1.3 999.0 99.0
1999 04 04 22  91  8.3  9.6  2.25  8.33  5.89 999 1017.8   1.7   1.3 999.0 99.0
1999 04 04 23  90  7.7  9.9  1.88  8.33  5.55 999 1018.3   1.9   1.3 999.0 99.0
1999 04 05 00  80  7.8  9.3  2.21  8.33  6.12 999 1019.0   2.0   1.3 999.0 99.0
1999 04 05 01  85  7.0  8.4  1.91  8.33  5.76 999 1019.8   1.7   1.3 999.0 99.0
1999 04 05 02  93  6.9  8.5  1.71  8.33  5.35 999 1020.4   2.0   1.3 999.0 99.0
1999 04 05 03  98  6.7  7.9  1.66  7.69  5.26 999 1020.6   2.0   1.3 999.0 99.0
1999 04 05 04  96  7.1  8.7  1.53  5.56  4.96 999 1021.2   1.6   1.3 999.0 99.0
1999 04 05 05  94  6.4  7.4  1.38  5.88  4.86 999 1021.9   1.7   1.3 999.0 99.0
1999 04 05 06 131  3.8  4.6  1.21  6.25  4.85 999 1022.9   2.0   1.3 999.0 99.0
1999 04 05 07 187   .8  1.8  1.08  5.88  4.77 999 1022.9   1.7   1.3 999.0 99.0
1999 04 05 08 274   .5   .9   .92  5.88  4.60 999 1023.6   1.6   1.3 999.0 99.0
1999 04 05 09  83  1.7  2.7   .79  5.00  4.44 999 1024.7   1.6   1.3 999.0 99.0
1999 04 05 10  69  2.3  3.0   .68  5.56  4.28 999 1025.3   1.6   1.3 999.0 99.0
1999 04 05 11  73  4.5  5.3   .63  5.26  4.26 999 1025.2   1.6   1.3 999.0 99.0
1999 04 05 12  69  4.1  4.7   .55  4.76  4.05 999 1025.5   1.6   1.3 999.0 99.0
1999 04 05 13  73  4.8  5.6   .50  5.26  3.84 999 1026.0   1.6   1.3 999.0 99.0
1999 04 05 14  69  5.0  6.0   .47  4.00  3.71 999 1026.0   1.3   1.3 999.0 99.0
1999 04 05 15  65  3.9  4.5   .44  3.70  3.60 999 1025.8   1.6   1.3 999.0 99.0
1999 04 05 16  50  5.6  6.9   .41  4.00  3.70 999 1024.6   1.6   1.3 999.0 99.0
1999 04 05 17  52  5.9  6.9   .38  4.17  3.56 999 1024.6   1.3   1.3 999.0 99.0
1999 04 05 18  53  6.7  8.0   .43  2.78  3.28 999 1024.4   1.6   1.3 999.0 99.0
1999 04 05 19  59  6.4  7.7   .49  2.78  3.21 999 1024.4   1.6   1.3 999.0 99.0
1999 04 05 20  48  7.0  8.2   .53  3.33  3.24 999 1023.6   1.3   1.3 999.0 99.0
1999 04 05 21  45  8.2  9.9   .67  3.45  3.35 999 1022.1   1.3   1.3 999.0 99.0
1999 04 05 22  62  7.7  8.9   .65  3.57  3.38 999 1021.2   1.6   1.3 999.0 99.0
1999 04 05 23  52  8.1  9.3   .76  3.85  3.44 999 1019.0   1.7   1.3 999.0 99.0
1999 04 06 00  60  8.6 10.2   .85  3.85  3.49 999 1018.6   1.7   1.3 999.0 99.0
1999 04 06 01  59  9.1 10.3  1.00  4.17  3.70 999 1017.5   1.2   1.3 999.0 99.0
1999 04 06 02  73  9.2 11.5  1.17  4.35  3.83 999 1017.1   1.3   1.3 999.0 99.0
1999 04 06 03  61  9.2 10.9  1.26  4.76  4.00 999 1015.1    .5   1.3 999.0 99.0
1999 04 06 04  68 10.5 12.6  1.22  4.76  4.01 999 1014.1    .9   1.3 999.0 99.0
1999 04 06 05  61 11.0 13.4  1.30  4.55  4.01 999 1011.8   1.0   1.3 999.0 99.0
1999 04 06 06  67 11.5 13.8  1.49  5.00  4.10 999 1010.2    .9   1.3 999.0 99.0
1999 04 06 07  57 11.1 13.2  1.59  5.26  4.34 999 1008.1    .5   1.3 999.0 99.0
1999 04 06 08  67 11.2 13.8  1.84  5.56  4.52 999 1006.4    .8   1.3 999.0 99.0
1999 04 06 09  70 11.0 13.2  1.92  5.88  4.75 999 1004.7   1.2   1.3 999.0 99.0
