YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 04 12 22 193  3.9  4.6  0.21  3.13  3.26 999 1018.8   4.2   1.9 999.0 99.0 99.00
2002 04 12 23 191  4.0  4.3  0.21  3.13  3.16 999 1018.9   4.7   1.9 999.0 99.0 99.00
2002 04 13 00 178  2.9  3.3  0.19  3.13  3.14 999 1018.7   4.4   1.9 999.0 99.0 99.00
2002 04 13 01 180  2.5  2.6  0.17  2.94  3.13 999 1018.7   4.4   1.9 999.0 99.0 99.00
2002 04 13 02 172  2.6  2.8  0.00  0.00  0.00 999 1019.1   4.9   1.9 999.0 99.0 99.00
2002 04 13 03 163  2.7  3.0  0.00  0.00  0.00 999 1019.5   4.7   1.8 999.0 99.0 99.00
2002 04 13 04 174  3.2  3.4  0.18  4.35  3.43 999 1019.7   5.1   1.8 999.0 99.0 99.00
2002 04 13 05 183  2.4  2.5  0.00  0.00  0.00 999 1020.2   4.0   1.8 999.0 99.0 99.00
2002 04 13 06 227  1.5  2.7  0.00  0.00  0.00 999 1020.6   3.3   1.8 999.0 99.0 99.00
2002 04 13 07 184  3.4  3.8  0.00  0.00  0.00 999 1020.9   3.6   1.8 999.0 99.0 99.00
2002 04 13 08 206  4.4  5.1  0.00  0.00  0.00 999 1020.9   4.7   1.8 999.0 99.0 99.00
2002 04 13 09 250  1.8  2.2  0.00  0.00  0.00 999 1021.0   3.7   1.8 999.0 99.0 99.00
2002 04 13 10 180  0.1  0.4  0.00  0.00  0.00 999 1020.8   3.7   1.7 999.0 99.0 99.00
2002 04 13 11 164  1.7  1.8  0.00  0.00  0.00 999 1020.7   4.1   1.6 999.0 99.0 99.00
2002 04 13 12 157  2.8  3.1  0.00  0.00  0.00 999 1020.9   3.3   1.7 999.0 99.0 99.00
2002 04 13 13 170  3.2  3.6  0.00  0.00  0.00 999 1021.0   3.6   1.7 999.0 99.0 99.00
2002 04 13 14 176  4.3  4.6  0.00  0.00  0.00 999 1020.6   3.7   1.8 999.0 99.0 99.00
2002 04 13 15 186  5.1  5.6  0.00  0.00  0.00 999 1020.8   3.9   1.9 999.0 99.0 99.00
2002 04 13 16 180  3.7  4.0  0.00  0.00  0.00 999 1020.9   4.2   1.9 999.0 99.0 99.00
2002 04 13 17 171  2.7  3.0  0.00  0.00  0.00 999 1020.6   4.1   2.0 999.0 99.0 99.00
2002 04 13 18 131  3.1  3.5  0.00  0.00  0.00 999 1020.0   4.3   2.0 999.0 99.0 99.00
2002 04 13 19 110  2.3  2.7  0.00  0.00  0.00 999 1019.1   4.3   2.0 999.0 99.0 99.00
2002 04 13 20 111  3.6  3.9  0.00  0.00  0.00 999 1018.1   6.5   2.0 999.0 99.0 99.00
2002 04 13 21  59  2.3  2.9  0.00  0.00  0.00 999 1017.3   6.0   2.1 999.0 99.0 99.00
2002 04 13 22  66  3.3  3.5  0.00  0.00  0.00 999 1016.3   4.7   2.1 999.0 99.0 99.00
2002 04 13 23  97  5.6  6.1  0.00  0.00  0.00 999 1015.5   4.6   2.0 999.0 99.0 99.00
