YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 18 12 00 148  5.0  5.5  0.22  2.56  2.91 999 1015.6   5.5   1.6 999.0 99.0 99.00
2005 04 18 13 00 152  5.6  7.0  0.26  2.56  2.87 999 1015.4   6.3   1.6 999.0 99.0 99.00
2005 04 18 14 00 150  4.8  5.3  0.47  3.33  3.20 999 1015.7   5.5   1.6 999.0 99.0 99.00
2005 04 18 15 00 105  2.1  3.2  0.41  3.45  3.21 999 1015.6   4.7   1.6 999.0 99.0 99.00
2005 04 18 16 00 141  5.1  5.6  0.37  3.45  3.15 999 1014.8   5.8   1.6 999.0 99.0 99.00
2005 04 18 17 00 112  3.0  3.5  0.31  3.13  3.07 999 1014.5   6.2   1.7 999.0 99.0 99.00
2005 04 18 18 00 117  2.9  3.3  0.28  3.03  3.11 999 1013.9   6.0   2.2 999.0 99.0 99.00
2005 04 18 19 00 114  3.9  4.4  0.30  3.33  3.06 999 1012.4   7.1   1.8 999.0 99.0 99.00
2005 04 18 20 00  90  2.3  2.5  0.29  3.03  3.09 999 1011.8   5.5   1.9 999.0 99.0 99.00
2005 04 18 21 00  96  4.6  5.0  0.24  2.78  2.96 999 1010.9   4.9   1.9 999.0 99.0 99.00
2005 04 18 22 00 124  4.0  4.5  0.20  3.45  3.00 999 1010.2   5.2   1.9 999.0 99.0 99.00
2005 04 18 23 00  73  0.7  1.2  0.17  3.13  3.07 999 1009.8   7.9   1.9 999.0 99.0 99.00
2005 04 19 00 00  69  3.3  3.8  0.00  0.00  0.00 999 1009.5   4.8   1.9 999.0 99.0 99.00
2005 04 19 01 00 183  3.6  4.3  0.00  0.00  0.00 999 1008.7   9.8   1.9 999.0 99.0 99.00
2005 04 19 02 00 258  3.2  5.8  0.00  0.00  0.00 999 1009.2   6.7   1.9 999.0 99.0 99.00
