YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 30 02 112  2.5  2.7  0.00  0.00  0.00 999 1006.9   3.9   2.1 999.0 99.0 99.00
2003 05 30 03 136  3.4  3.7  0.00  0.00  0.00 999 1006.3   3.9   2.0 999.0 99.0 99.00
2003 05 30 04 149  3.9  4.2  0.00  0.00  0.00 999 1005.5   4.0   2.1 999.0 99.0 99.00
2003 05 30 05 137  4.8  6.5  0.00  0.00  0.00 999 1004.8   4.8   2.1 999.0 99.0 99.00
2003 05 30 06  81  4.7  6.1  0.00  0.00  0.00 999 1004.7   4.3   2.0 999.0 99.0 99.00
2003 05 30 07  92  4.8  5.5  0.00  0.00  0.00 999 1004.2   4.7   2.0 999.0 99.0 99.00
2003 05 30 08  82  5.4  6.7  0.00  0.00  0.00 999 1003.9   4.5   2.0 999.0 99.0 99.00
2003 05 30 09  90  6.5  7.6  0.21  2.63  2.72 999 1003.2   4.4   2.0 999.0 99.0 99.00
2003 05 30 10 100  5.9  6.8  0.33  2.86  2.84 999 1003.4   4.3   2.0 999.0 99.0 99.00
2003 05 30 11 107  6.3  7.5  0.38  3.03  2.94 999 1003.3   4.1   2.0 999.0 99.0 99.00
2003 05 30 12 110  4.5  5.4  0.39  3.23  3.04 999 1003.7   3.7   2.0 999.0 99.0 99.00
2003 05 30 13 146  3.0  3.5  0.32  3.13  3.01 999 1003.9   3.5   2.0 999.0 99.0 99.00
2003 05 30 14 123  4.4  5.0  0.33  3.13  3.08 999 1003.5   3.8   2.0 999.0 99.0 99.00
2003 05 30 15 107  5.1  5.8  0.27  3.13  3.07 999 1003.2   3.9   2.0 999.0 99.0 99.00
2003 05 30 16 191  2.6  5.0  0.30  3.13  3.03 999 1003.9   3.5   2.0 999.0 99.0 99.00
2003 05 30 17 322  2.3  3.4  0.28  3.03  2.98 999 1004.4   3.2   2.1 999.0 99.0 99.00
2003 05 30 18  37  4.3  4.8  0.23  3.23  3.05 999 1004.6   3.3   2.1 999.0 99.0 99.00
2003 05 30 19  74  4.4  5.0  0.25  3.23  3.05 999 1004.5   4.2   2.0 999.0 99.0 99.00
2003 05 30 20  53  3.5  3.8  0.20  2.94  2.99 999 1004.8   3.7   2.0 999.0 99.0 99.00
2003 05 30 21  33  4.1  4.7  0.18  3.03  2.93 999 1004.6   3.6   2.0 999.0 99.0 99.00
2003 05 30 22  42  5.0  5.6  0.00  0.00  0.00 999 1005.1   4.0   2.0 999.0 99.0 99.00
2003 05 30 23  34  5.6  6.4  0.00  0.00  0.00 999 1005.6   4.7   2.0 999.0 99.0 99.00
2003 05 31 00  27  5.8  6.3  0.16  2.50  2.78 999 1006.4   4.1   2.0 999.0 99.0 99.00
2003 05 31 01  19  6.7  7.5  0.30  2.70  2.78 999 1007.1   4.2   2.0 999.0 99.0 99.00
2003 05 31 02  28  7.5  8.8  0.53  2.86  3.15 999 1008.1   4.7   2.0 999.0 99.0 99.00
2003 05 31 03  31  7.1  7.8  0.75  4.17  3.70 999 1009.4   4.5   2.0 999.0 99.0 99.00
2003 05 31 04  28  7.1  8.3  0.82  4.55  3.82 999 1010.3   4.3   2.0 999.0 99.0 99.00
2003 05 31 05  24  7.8  8.9  0.95  5.00  3.98 999 1010.9   4.3   2.0 999.0 99.0 99.00
2003 05 31 06  26  8.5 10.0  1.08  5.00  4.11 999 1011.5   4.4   2.0 999.0 99.0 99.00
2003 05 31 07  21  9.7 11.2  1.21  4.76  4.14 999 1011.8   3.8   2.0 999.0 99.0 99.00
2003 05 31 08  29  9.7 11.4  1.34  5.26  4.30 999 1012.7   3.5   2.0 999.0 99.0 99.00
2003 05 31 09  32  7.0  8.7  1.29  5.00  4.30 999 1013.6   3.3   2.0 999.0 99.0 99.00
2003 05 31 10  16  5.4  6.2  1.14  5.00  4.30 999 1014.4   2.8   2.0 999.0 99.0 99.00
2003 05 31 11  10  7.0  8.7  0.98  5.26  4.19 999 1015.3   3.1   2.0 999.0 99.0 99.00
2003 05 31 12 355  5.5  6.7  0.89  5.26  4.12 999 1016.5   2.6   2.0 999.0 99.0 99.00
2003 05 31 13 356  8.3 10.0  0.92  5.00  4.02 999 1016.4   2.6   2.0 999.0 99.0 99.00
2003 05 31 14 353  7.8  9.2  0.93  4.76  3.85 999 1016.8   2.5   2.0 999.0 99.0 99.00
2003 05 31 15 340  6.1  7.5  0.84  4.17  3.86 999 1017.2   2.6   2.0 999.0 99.0 99.00
2003 05 31 16 332  7.1  8.3  0.90  4.17  3.80 999 1017.2   2.7   2.1 999.0 99.0 99.00
2003 05 31 17 311  7.2  8.6  0.71  4.35  3.70 999 1017.3   2.7   2.0 999.0 99.0 99.00
2003 05 31 18 297  7.3  8.8  0.64  4.00  3.57 999 1017.4   3.0   2.0 999.0 99.0 99.00
2003 05 31 19 287  7.7  8.6  0.60  3.70  3.41 999 1017.0   3.4   2.1 999.0 99.0 99.00
2003 05 31 20 279  8.2  9.1  0.58  3.85  3.32 999 1016.9   3.4   2.1 999.0 99.0 99.00
2003 05 31 21 279  9.0 10.4  0.68  3.57  3.33 999 1016.4   3.6   2.1 999.0 99.0 99.00
2003 05 31 22 280  8.2  9.7  0.68  3.70  3.39 999 1016.2   3.8   2.0 999.0 99.0 99.00
2003 05 31 23 284  9.1 10.9  0.79  4.00  3.55 999 1016.0   3.7   2.0 999.0 99.0 99.00
2003 06 01 00 283  9.7 11.3  0.87  4.17  3.64 999 1015.6   3.8   2.0 999.0 99.0 99.00
2003 06 01 01 286  8.8 10.1  0.98  4.35  3.90 999 1015.6   3.9   2.0 999.0 99.0 99.00
2003 06 01 02 283  9.2 10.6  1.01  4.76  3.91 999 1016.1   4.1   2.0 999.0 99.0 99.00
2003 06 01 03 280  7.4  8.3  1.03  5.00  4.05 999 1016.5   4.0   2.0 999.0 99.0 99.00
2003 06 01 04 274  7.6  8.9  0.91  4.55  4.01 999 1016.6   4.1   2.0 999.0 99.0 99.00
2003 06 01 05 272  6.1  6.8  0.86  5.00  4.03 999 1016.6   3.9   2.0 999.0 99.0 99.00
2003 06 01 06 274  5.6  6.6  0.85  5.00  4.13 999 1016.6   3.9   2.0 999.0 99.0 99.00
2003 06 01 07  16  1.1  2.5  0.75  4.55  4.00 999 1016.8   3.9   2.0 999.0 99.0 99.00
2003 06 01 08  24  0.3  0.9  0.78  4.55  4.06 999 1016.7   4.2   2.0 999.0 99.0 99.00
2003 06 01 09 259  2.9  4.3  0.64  4.55  3.89 999 1016.5   5.1   2.0 999.0 99.0 99.00
2003 06 01 10 184  2.1  2.7  0.59  4.55  3.88 999 1016.6   4.0   2.0 999.0 99.0 99.00
2003 06 01 11 233  4.1  4.6  0.58  4.35  3.86 999 1016.5   4.7   2.0 999.0 99.0 99.00
2003 06 01 12  89  1.8  3.8  0.49  4.35  3.69 999 1016.8   4.6   2.0 999.0 99.0 99.00
2003 06 01 13 195  2.1  2.9  0.45  4.17  3.57 999 1016.7   3.9   2.1 999.0 99.0 99.00
2003 06 01 14 226  3.2  3.5  0.42  4.17  3.59 999 1016.5   3.9   2.1 999.0 99.0 99.00
2003 06 01 15 281  0.6  1.9  0.42  4.00  3.60 999 1016.7   4.3   2.1 999.0 99.0 99.00
2003 06 01 16 274  1.9  2.4  0.72  5.00  4.32 999 1016.5   4.4   2.1 999.0 99.0 99.00
2003 06 01 17 255  3.1  3.6  0.70  5.26  4.21 999 1016.3   4.2   2.1 999.0 99.0 99.00
2003 06 01 18 237  2.8  3.3  0.69  5.00  4.21 999 1016.3   4.2   2.2 999.0 99.0 99.00
2003 06 01 19 269  3.3  3.6  0.74  4.76  4.13 999 1016.0   4.1   2.1 999.0 99.0 99.00
2003 06 01 20 260  3.2  3.5  0.68  4.76  4.10 999 1015.8   4.4   2.1 999.0 99.0 99.00
2003 06 01 21 261  4.8  5.4  0.65  5.00  4.10 999 1015.5   5.0   2.1 999.0 99.0 99.00
2003 06 01 22 270  2.3  3.0  0.66  5.00  4.12 999 1015.7   4.6   2.1 999.0 99.0 99.00
2003 06 01 23 259  3.3  3.8  0.55  4.76  3.97 999 1015.2   4.3   2.1 999.0 99.0 99.00
2003 06 02 00 254  4.2  4.6  0.55  4.76  3.97 999 1015.0   4.3   2.1 999.0 99.0 99.00
2003 06 02 01  24  1.8  2.4  0.53  4.76  3.92 999 1015.1   4.0   2.1 999.0 99.0 99.00
2003 06 02 02  29  2.0  2.8  0.50  4.55  3.76 999 1015.6   5.0   2.1 999.0 99.0 99.00
