#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 20 20 50 181  0.8  3.6  0.02 99.00  6.64 999 1006.4  -1.5  -0.3 999.0 99.0 99.00
2013 03 20 21 50 176  0.5  2.5  0.05 99.00  8.54 999 1007.0  -1.6  -0.3 999.0 99.0 99.00
2013 03 20 22 50 184  1.1  2.9  0.03 99.00  7.29 999 1007.5  -2.0  -0.4 999.0 99.0 99.00
2013 03 20 23 50 186  0.6  2.2  0.05 99.00  8.55 999 1008.1  -2.5 999.0 999.0 99.0 99.00
2013 03 21 00 50 186  0.8  2.4  0.04 99.00  8.04 999 1008.3  -2.6 999.0 999.0 99.0 99.00
2013 03 21 01 50 174  0.0  0.4  0.05 99.00  8.62 999 1008.4  -3.3 999.0 999.0 99.0 99.00
2013 03 21 02 50 174  0.1  0.9  0.04 99.00  7.56 999 1008.5  -3.4 999.0 999.0 99.0 99.00
2013 03 21 03 50 276  0.2  1.1  0.03 99.00  7.18 999 1008.8  -3.6 999.0 999.0 99.0 99.00
2013 03 21 04 50 255  0.3  1.7  0.03 99.00  7.38 999 1008.8  -3.6 999.0 999.0 99.0 99.00
2013 03 21 05 50 269  0.3  1.5  0.04 99.00  7.61 999 1009.0  -4.0 999.0 999.0 99.0 99.00
2013 03 21 06 50 229  0.3  1.8  0.04 99.00  8.17 999 1009.3  -4.4 999.0 999.0 99.0 99.00
2013 03 21 07 50 189  0.3  1.3  0.03 99.00  7.05 999 1009.6  -5.1 999.0 999.0 99.0 99.00
2013 03 21 08 50 184  0.1  1.1  0.04 99.00  8.12 999 1009.5  -5.1 999.0 999.0 99.0 99.00
2013 03 21 09 50 218  0.4  1.6  0.05 99.00  8.72 999 1009.6  -5.4 999.0 999.0 99.0 99.00
2013 03 21 10 50 282  0.2  2.1  0.03 99.00  7.24 999 1010.2  -5.9 999.0 999.0 99.0 99.00
2013 03 21 11 50 318  1.3  2.6  0.03 99.00  7.41 999 1010.4  -6.0 999.0 999.0 99.0 99.00
2013 03 21 12 50 220  0.3  1.4  0.04 99.00  7.73 999 1010.8  -6.1 999.0 999.0 99.0 99.00
2013 03 21 13 50 260  4.3  6.0 99.00 99.00 99.00 999 1010.9  -6.3 999.0 999.0 99.0 99.00
2013 03 21 15 50 319  2.1  4.9  0.02 99.00  7.14 999 1011.5  -5.8 999.0 999.0 99.0 99.00
2013 03 21 16 50 324  2.3  5.9  0.01 99.00  7.10 999 1011.7  -5.1 999.0 999.0 99.0 99.00
2013 03 21 17 50 315  3.7  6.7  0.03 99.00  5.41 999 1011.5  -5.6 999.0 999.0 99.0 99.00
2013 03 21 18 50 298  3.2  6.8  0.02 99.00  7.65 999 1011.6  -4.9 999.0 999.0 99.0 99.00
2013 03 21 19 50 321  2.7  5.3  0.02 99.00  7.14 999 1011.7  -4.7 999.0 999.0 99.0 99.00
2013 03 21 20 50 317  1.5  6.2 99.00 99.00 99.00 999 1012.0  -4.1 999.0 999.0 99.0 99.00
2013 03 21 21 50 303  1.2  4.5 99.00 99.00 99.00 999 1012.1  -4.6 999.0 999.0 99.0 99.00
2013 03 21 22 50 320  4.3  8.8 99.00 99.00 99.00 999 1012.4  -4.2 999.0 999.0 99.0 99.00
2013 03 21 23 50 293  2.4  5.9  0.01 99.00  7.14 999 1012.4  -4.2 999.0 999.0 99.0 99.00
2013 03 22 00 50 288  1.0  4.4  0.01 99.00  7.14 999 1012.6  -4.3 999.0 999.0 99.0 99.00
2013 03 22 01 50 295  1.0  2.8 99.00 99.00 99.00 999 1012.5  -3.9 999.0 999.0 99.0 99.00
2013 03 22 02 50 308  1.1  2.9  0.03 99.00  7.01 999 1012.1  -3.1 999.0 999.0 99.0 99.00
2013 03 22 03 50 349  3.4  4.8  0.04 99.00  7.99 999 1011.8  -2.3 999.0 999.0 99.0 99.00
2013 03 22 04 50 351  3.3  4.9  0.05 99.00  8.06 999 1011.9  -2.8 999.0 999.0 99.0 99.00
2013 03 22 05 50 360  2.9  4.4  0.04 99.00  8.42 999 1012.0  -2.9 999.0 999.0 99.0 99.00
2013 03 22 06 50   4  2.1  3.0  0.06 99.00  9.25 999 1012.2  -4.2 999.0 999.0 99.0 99.00
2013 03 22 07 50 360  1.4  1.8  0.04 99.00  7.96 999 1012.5  -6.5 999.0 999.0 99.0 99.00
2013 03 22 08 50  17  1.6  2.0  0.03 99.00  7.38 999 1012.8  -7.3 999.0 999.0 99.0 99.00
2013 03 22 09 50   1  0.9  1.3  0.04 99.00  8.42 999 1013.2  -7.5 999.0 999.0 99.0 99.00
2013 03 22 10 50 358  0.8  1.3  0.04 99.00  8.13 999 1013.6  -7.1 999.0 999.0 99.0 99.00
2013 03 22 11 50 350  1.5  4.1  0.01 99.00  7.58 999 1014.0  -5.6 999.0 999.0 99.0 99.00
2013 03 22 12 50 346  0.5  2.9  0.01 99.00  7.14 999 1014.3  -5.5 999.0 999.0 99.0 99.00
2013 03 22 13 50 312  0.9  2.5 99.00 99.00 99.00 999 1014.3  -3.8 999.0 999.0 99.0 99.00
2013 03 22 14 50 219  0.5  2.0  0.02 99.00  7.14 999 1014.3  -3.1 999.0 999.0 99.0 99.00
2013 03 22 15 50 181  0.6  2.0  0.02 99.00  6.41 999 1014.3  -2.5 999.0 999.0 99.0 99.00
2013 03 22 16 50 186  0.9  2.8  0.03 99.00  7.30 999 1014.2  -2.5 999.0 999.0 99.0 99.00
2013 03 22 17 50 204  0.6  2.0  0.05 99.00  8.27 999 1014.4  -1.8 999.0 999.0 99.0 99.00
2013 03 22 18 50 359  1.8  7.4  0.04 99.00  7.93 999 1014.3  -1.5 999.0 999.0 99.0 99.00
2013 03 22 19 50 315  2.4  8.5  0.02 99.00  7.14 999 1014.6  -2.7 999.0 999.0 99.0 99.00
2013 03 22 20 50 295  2.1  4.3  0.02 99.00  7.14 999 1014.6  -2.9 999.0 999.0 99.0 99.00
2013 03 22 21 50 291  3.3  4.8  0.01 99.00  7.14 999 1015.0  -3.0 999.0 999.0 99.0 99.00
2013 03 22 22 50 293  3.0  5.3  0.02 99.00  7.14 999 1015.6  -2.5 999.0 999.0 99.0 99.00
2013 03 23 00 50 292  0.9  3.5  0.02 99.00  7.14 999 1016.5  -3.4 999.0 999.0 99.0 99.00
2013 03 23 01 50 264  1.3  2.6  0.04 99.00  8.06 999 1017.0  -3.8 999.0 999.0 99.0 99.00
2013 03 23 02 50 275  2.5  3.4  0.03 99.00  7.36 999 1017.1  -3.4 999.0 999.0 99.0 99.00
2013 03 23 03 50 282  3.4  4.4  0.06 99.00  8.91 999 1017.1  -2.6 999.0 999.0 99.0 99.00
2013 03 23 04 50 292  3.5  3.9  0.04 99.00  8.06 999 1017.0  -2.5 999.0 999.0 99.0 99.00
2013 03 23 05 50 295  1.4  1.7  0.12 99.00 11.88 999 1017.1  -4.0 999.0 999.0 99.0 99.00
2013 03 23 06 50 282  1.5  1.7  0.03 99.00  7.29 999 1017.3  -5.1 999.0 999.0 99.0 99.00
2013 03 23 07 50 174  0.0  0.3  0.04 99.00  7.99 999 1017.3  -5.5 999.0 999.0 99.0 99.00
2013 03 23 08 50  17  1.3  2.0  0.04 99.00  8.00 999 1017.3  -5.3 999.0 999.0 99.0 99.00
2013 03 23 09 50   4  2.0  2.7  0.05 99.00  8.45 999 1017.7  -4.6 999.0 999.0 99.0 99.00
2013 03 23 10 50  47  0.7  1.2  0.04 99.00  7.55 999 1018.2  -7.0 999.0 999.0 99.0 99.00
2013 03 23 11 50 301  0.2  1.3 99.00 99.00 99.00 999 1018.8  -6.8 999.0 999.0 99.0 99.00
2013 03 23 12 50 297  0.3  3.0  0.01 99.00  7.14 999 1019.4  -5.2 999.0 999.0 99.0 99.00
2013 03 23 13 50  25  1.3  6.5  0.02 99.00  7.14 999 1019.3  -2.0 999.0 999.0 99.0 99.00
2013 03 23 14 50 120  2.6  6.0  0.02 99.00  7.14 999 1019.8  -4.3 999.0 999.0 99.0 99.00
2013 03 23 15 50 149  0.6  2.1  0.02 99.00  7.14 999 1019.5  -2.2 999.0 999.0 99.0 99.00
2013 03 23 16 50 330  0.8  2.0  0.02 99.00  7.24 999 1018.6   0.6 999.0 999.0 99.0 99.00
2013 03 23 17 50 214  0.8  2.7  0.01 99.00  7.02 999 1018.7   1.8 999.0 999.0 99.0 99.00
2013 03 23 18 50 315  0.9  2.9  0.04 99.00  8.24 999 1018.8   1.1 999.0 999.0 99.0 99.00
2013 03 23 19 50 179  1.3  3.2  0.04 99.00  7.59 999 1018.8   1.3 999.0 999.0 99.0 99.00
2013 03 23 20 50 201  0.9  2.9  0.03 99.00  7.24 999 1019.0   0.9 999.0 999.0 99.0 99.00
2013 03 23 21 50 186  1.0  2.8  0.04 99.00  7.39 999 1019.2   0.4 999.0 999.0 99.0 99.00
2013 03 23 22 50 319  1.1  3.0  0.05 99.00  8.38 999 1019.0  -0.9 999.0 999.0 99.0 99.00
2013 03 23 23 50 200  0.5  2.8  0.05 99.00  8.23 999 1019.0  -1.3 999.0 999.0 99.0 99.00
2013 03 24 00 50 321  0.2  1.0  0.03 99.00  7.46 999 1019.6  -1.8 999.0 999.0 99.0 99.00
2013 03 24 01 50 171  0.1  1.0  0.04 99.00  7.97 999 1019.7  -2.5 999.0 999.0 99.0 99.00
2013 03 24 02 50 243  1.4  2.7  0.03 99.00  6.99 999 1019.8  -3.8 999.0 999.0 99.0 99.00
2013 03 24 03 50 247  1.4  2.3  0.04 99.00  7.40 999 1019.8  -2.8 999.0 999.0 99.0 99.00
2013 03 24 04 50 248  1.7  2.3  0.03 99.00  6.85 999 1019.4  -3.2 999.0 999.0 99.0 99.00
2013 03 24 05 50 245  3.0  4.0  0.05 99.00  8.75 999 1019.4  -4.1 999.0 999.0 99.0 99.00
2013 03 24 06 50 242  0.9  1.7  0.02 99.00  6.59 999 1019.1  -4.0 999.0 999.0 99.0 99.00
2013 03 24 07 50 174  0.0  0.2  0.03 99.00  6.62 999 1019.0  -4.0 999.0 999.0 99.0 99.00
2013 03 24 08 50 174  0.1  0.8  0.03 99.00  7.26 999 1018.6  -3.5 999.0 999.0 99.0 99.00
2013 03 24 09 50  21  0.2  1.1  0.05 99.00  8.96 999 1018.9  -4.0 999.0 999.0 99.0 99.00
2013 03 24 10 50 174  0.0  0.0  0.05 99.00  8.62 999 1019.5  -4.9 999.0 999.0 99.0 99.00
2013 03 24 11 50  19  0.3  1.1  0.03 99.00  6.75 999 1019.5  -5.0 999.0 999.0 99.0 99.00
2013 03 24 12 50  14  0.4  1.3  0.04 99.00  8.10 999 1019.2  -3.9 999.0 999.0 99.0 99.00
2013 03 24 13 50 174  0.0  0.3  0.03 99.00  7.28 999 1018.9  -2.4 999.0 999.0 99.0 99.00
2013 03 24 14 50 240  1.2  2.0  0.07 99.00  9.59 999 1018.4  -1.0 999.0 999.0 99.0 99.00
2013 03 24 15 50 244  1.8  3.4  0.03 99.00  7.18 999 1017.3   0.5 999.0 999.0 99.0 99.00
2013 03 24 16 50 264  2.6  5.9 99.00 99.00 99.00 999 1017.1  -2.5 999.0 999.0 99.0 99.00
2013 03 24 17 50  29  0.4  0.8  0.04 99.00  6.17 999 1016.4  -1.7 999.0 999.0 99.0 99.00
2013 03 24 18 50 183  0.3  1.2  0.02 99.00  5.35 999 1015.5  -1.2 999.0 999.0 99.0 99.00
2013 03 24 19 50 318  4.5  8.1  0.01 99.00  5.43 999 1014.6  -1.9 999.0 999.0 99.0 99.00
2013 03 24 20 50 316  2.3  4.1  0.01 99.00  7.14 999 1013.3  -0.3 999.0 999.0 99.0 99.00
2013 03 24 21 50 319  0.3  1.3  0.05 99.00  9.60 999 1012.4   1.1 999.0 999.0 99.0 99.00
2013 03 24 22 50 353  1.2  2.6  0.03 99.00  7.82 999 1011.9   1.3 999.0 999.0 99.0 99.00
2013 03 25 00 50 339  2.0  3.8  0.02 99.00  6.50 999 1012.3  -2.2 999.0 999.0 99.0 99.00
2013 03 25 01 50  10  1.1  2.8  0.04 99.00  7.81 999 1012.9  -2.3 999.0 999.0 99.0 99.00
2013 03 25 02 50  11  0.4  1.7  0.04 99.00  8.11 999 1013.4  -2.4 999.0 999.0 99.0 99.00
2013 03 25 03 50  16  0.5  1.7  0.04 99.00  7.45 999 1013.6  -2.8 999.0 999.0 99.0 99.00
2013 03 25 04 50 325  0.3  1.6  0.04 99.00  8.13 999 1013.7  -2.9 999.0 999.0 99.0 99.00
2013 03 25 05 50   7  0.8  2.5  0.03 99.00  7.48 999 1013.8  -1.5 999.0 999.0 99.0 99.00
2013 03 25 06 50  32  1.0  2.8  0.04 99.00  8.09 999 1013.5  -1.4 999.0 999.0 99.0 99.00
2013 03 25 07 50  31  0.7  2.7  0.04 99.00  7.83 999 1013.4  -1.6 999.0 999.0 99.0 99.00
2013 03 25 08 50   5  0.6  1.8  0.02 99.00  6.61 999 1013.0  -2.2 999.0 999.0 99.0 99.00
2013 03 25 09 50   1  0.4  1.2  0.05 99.00  8.49 999 1013.1  -3.1 999.0 999.0 99.0 99.00
2013 03 25 10 50   7  0.7  1.8  0.04 99.00  8.42 999 1013.1  -2.9 999.0 999.0 99.0 99.00
2013 03 25 11 50 330  1.1  2.5  0.01 99.00  7.26 999 1013.2  -2.9 999.0 999.0 99.0 99.00
2013 03 25 12 50 356  4.6  5.8  0.04 99.00  3.94 999 1013.0  -3.1 999.0 999.0 99.0 99.00
2013 03 25 13 50 351  4.2  8.1  0.04 99.00  4.87 999 1013.3  -2.6 999.0 999.0 99.0 99.00
2013 03 25 14 50  28  3.0  4.2  0.05 99.00  5.23 999 1013.7  -2.0 999.0 999.0 99.0 99.00
