YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 06 01 15 232  4.6  5.4  0.52  4.00  3.54 999 1016.2   3.2   2.0 999.0 99.0 99.00
2003 06 01 16 221  5.3  5.9  0.50  3.85  3.50 999 1015.8   3.3   2.0 999.0 99.0 99.00
2003 06 01 17 234  5.5  6.3  0.53  3.85  3.47 999 1016.2   3.6   2.0 999.0 99.0 99.00
2003 06 01 18 228  5.8  6.7  0.54  3.85  3.53 999 1015.7   3.6   2.1 999.0 99.0 99.00
2003 06 01 19 225  5.2  6.2  0.57  4.00  3.57 999 1015.7   3.6   2.1 999.0 99.0 99.00
2003 06 01 20 232  5.2  5.8  0.53  4.00  3.48 999 1015.6   3.9   2.0 999.0 99.0 99.00
2003 06 01 21 229  5.4  6.0  0.57  3.85  3.65 999 1015.5   4.0   2.0 999.0 99.0 99.00
2003 06 01 22 237  5.4  6.0  0.51  4.00  3.52 999 1015.5   4.2   2.1 999.0 99.0 99.00
2003 06 01 23 240  6.8  7.6  0.52  4.00  3.46 999 1015.0   4.7   2.0 999.0 99.0 99.00
2003 06 02 00 241  5.8  6.4  0.47  3.70  3.38 999 1014.9   4.8   2.0 999.0 99.0 99.00
2003 06 02 01 251  5.6  6.3  0.40  3.57  3.29 999 1014.9   5.2   2.0 999.0 99.0 99.00
2003 06 02 02 249  4.5  5.0  0.37  3.45  3.24 999 1014.9   5.2   2.0 999.0 99.0 99.00
2003 06 02 03 262  4.1  4.5  0.31  3.45  3.24 999 1015.0   5.2   2.0 999.0 99.0 99.00
2003 06 02 04 255  4.2  4.7  0.29  3.45  3.23 999 1015.4   5.2   2.0 999.0 99.0 99.00
2003 06 02 05 247  2.5  2.8  0.26  3.45  3.21 999 1015.3   4.4   2.0 999.0 99.0 99.00
2003 06 02 06 231  3.5  3.9  0.23  3.45  3.19 999 1014.9   3.9   2.0 999.0 99.0 99.00
2003 06 02 07  58  2.0  4.5  0.22  3.13  3.20 999 1015.7   5.1   2.0 999.0 99.0 99.00
2003 06 02 08  88  2.3  2.6  0.21  3.33  3.18 999 1015.7   4.0   2.0 999.0 99.0 99.00
2003 06 02 09  35  2.0  2.3  0.18  3.23  3.14 999 1015.7   4.7   1.9 999.0 99.0 99.00
2003 06 02 10  84  3.1  3.4  0.17  3.13  3.21 999 1016.3   3.9   2.0 999.0 99.0 99.00
2003 06 02 11 102  2.5  2.7  0.15  3.23  3.24 999 1017.3   3.8   2.0 999.0 99.0 99.00
