YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 29 10 00 139  4.0  4.6  0.35  3.23  3.07 999 1027.8   3.9   2.6 999.0 99.0 99.00
2006 04 29 11 00 135  3.6  4.2  0.35  3.23  3.10 999 1028.0   3.6   2.6 999.0 99.0 99.00
2006 04 29 12 00 142  3.8  4.4  0.37  3.33  3.16 999 1028.9   3.6   2.6 999.0 99.0 99.00
2006 04 29 13 00 130  4.4  5.1  0.39  3.45  3.27 999 1029.5   3.7   2.6 999.0 99.0 99.00
2006 04 29 15 00 115  5.4  6.3  0.46  3.57  3.41 999 1029.5   3.5   2.6 999.0 99.0 99.00
2006 04 29 16 00 105  5.7  6.6  0.45  3.45  3.42 999 1029.8   3.5   2.6 999.0 99.0 99.00
2006 04 29 17 00 105  5.8  6.8  0.48  4.00  3.47 999 1029.7   3.5   2.7 999.0 99.0 99.00
2006 04 29 18 00 108  6.3  7.2  0.55  3.70  3.40 999 1029.7   3.7   2.7 999.0 99.0 99.00
2006 04 29 19 00 109  5.1  5.9  0.57  4.55  3.50 999 1029.4   3.9   2.7 999.0 99.0 99.00
2006 04 29 20 00  94  5.6  6.3  0.51  3.70  3.48 999 1028.9   4.3   2.7 999.0 99.0 99.00
2006 04 29 21 00 103  5.0  5.6  0.52  3.57  3.57 999 1028.3   4.9   2.7 999.0 99.0 99.00
2006 04 29 22 00  91  4.5  5.1  0.47  3.57  3.38 999 1027.9   5.2   2.6 999.0 99.0 99.00
2006 04 29 23 00  87  5.2  5.9  0.44  3.45  3.35 999 1027.2   5.2   2.6 999.0 99.0 99.00
2006 04 30 00 00  94  6.7  7.8  0.49  3.57  3.32 999 1026.4   4.9   2.6 999.0 99.0 99.00
2006 04 30 01 00  96  5.9  6.7  0.62  4.17  3.49 999 1026.8   5.4   2.6 999.0 99.0 99.00
2006 04 30 02 00 122  9.0 10.4  0.87  4.35  3.72 999 1026.6   6.8   2.6 999.0 99.0 99.00
2006 04 30 03 00 130  8.3  9.3  0.98  4.35  3.91 999 1027.5   6.2   2.6 999.0 99.0 99.00
2006 04 30 04 00 121  7.1  7.9  0.93  4.76  4.06 999 1027.3   6.0   2.6 999.0 99.0 99.00
2006 04 30 05 00 121  7.4  8.7  0.84  4.76  4.10 999 1027.0   5.8   2.6 999.0 99.0 99.00
2006 04 30 06 00 116  8.7 10.2  0.91  4.76  3.89 999 1026.8   5.9   2.6 999.0 99.0 99.00
2006 04 30 07 00 106  7.8  9.7  0.86  4.35  3.80 999 1026.5   5.2   2.6 999.0 99.0 99.00
2006 04 30 08 00 104  6.8  7.7  0.77  4.35  3.71 999 1026.2   4.9   2.6 999.0 99.0 99.00
2006 04 30 09 00 102  7.4  8.4  0.63  4.17  3.55 999 1025.8   4.8   2.6 999.0 99.0 99.00
2006 04 30 10 00 102  8.9  9.9  0.69  3.85  3.39 999 1025.0   5.1   2.6 999.0 99.0 99.00
2006 04 30 11 00 102  8.1  9.1  0.74  3.70  3.51 999 1025.2   5.1   2.6 999.0 99.0 99.00
2006 04 30 12 00 102  8.7  9.9  0.77  4.00  3.55 999 1025.0   5.3   2.6 999.0 99.0 99.00
2006 04 30 13 00 102  8.2  9.1  0.80  4.00  3.59 999 1025.4   5.4   2.6 999.0 99.0 99.00
2006 04 30 14 00 104  8.0  9.3  0.81  4.00  3.68 999 1025.4   5.1   2.6 999.0 99.0 99.00
2006 04 30 15 00  93  8.5 11.3  0.92  4.17  3.80 999 1024.7   5.2   2.6 999.0 99.0 99.00
2006 04 30 16 00 105  7.7  8.8  0.97  4.17  3.79 999 1025.1   5.4   2.6 999.0 99.0 99.00
2006 04 30 17 00  97  9.4 10.7  0.97  4.17  3.81 999 1024.7   5.9   2.6 999.0 99.0 99.00
2006 04 30 18 00  97  9.1 10.2  0.95  4.17  3.81 999 1024.3   6.3   2.7 999.0 99.0 99.00
2006 04 30 19 00  92  9.2 10.0  0.95  4.00  3.77 999 1023.7   6.6   2.7 999.0 99.0 99.00
2006 04 30 20 00  95  9.0 10.5  0.98  4.17  3.84 999 1023.2   6.4   2.7 999.0 99.0 99.00
