#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 03 21 50  40  1.3  2.5  0.01 99.00  7.36 999 1025.3  11.7   9.9 999.0 99.0 99.00
2011 05 03 22 50  23  0.9  1.7 99.00 99.00 99.00 999 1025.1  11.9  10.7 999.0 99.0 99.00
2011 05 03 23 50  36  1.1  2.2 99.00 99.00 99.00 999 1025.1  10.9  11.0 999.0 99.0 99.00
2011 05 04 00 50  46  1.1  2.3  0.01 99.00  6.13 999 1025.3   8.4  10.9 999.0 99.0 99.00
2011 05 04 01 50  24  0.5  1.1 99.00 99.00 99.00 999 1025.9   6.5  10.0 999.0 99.0 99.00
2011 05 04 02 50  54  0.6  1.1  0.01 99.00  5.68 999 1026.3   5.6   9.2 999.0 99.0 99.00
2011 05 04 03 50 180  0.0  0.2 99.00 99.00 99.00 999 1026.7   5.2   8.4 999.0 99.0 99.00
2011 05 04 04 50 158  0.3  0.7 99.00 99.00 99.00 999 1026.8   4.4   7.7 999.0 99.0 99.00
2011 05 04 05 50 155  0.6  1.1  0.01 99.00  5.49 999 1027.0   4.3   7.1 999.0 99.0 99.00
2011 05 04 06 50 207  0.2  0.9  0.01 99.00  7.24 999 1026.8   5.1   6.7 999.0 99.0 99.00
2011 05 04 07 50 229  1.1  1.4 99.00 99.00 99.00 999 1026.8   4.6   6.3 999.0 99.0 99.00
2011 05 04 08 50 191  0.8  1.4  0.01 99.00  5.33 999 1026.8   4.2   6.0 999.0 99.0 99.00
2011 05 04 09 50 186  0.7  1.3 99.00 99.00 99.00 999 1026.8   3.5   5.7 999.0 99.0 99.00
2011 05 04 10 50  33  0.2  0.6 99.00 99.00 99.00 999 1027.1   1.8   5.3 999.0 99.0 99.00
2011 05 04 11 50  57  0.9  1.3  0.01 99.00  5.74 999 1027.3   1.9   4.6 999.0 99.0 99.00
2011 05 04 12 50  54  0.7  1.1  0.01 99.00  5.82 999 1027.9   3.2   4.6 999.0 99.0 99.00
2011 05 04 13 50  50  0.2  0.7 99.00 99.00 99.00 999 1027.9   5.6   5.1 999.0 99.0 99.00
