#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 16 09 50 266 10.1 12.0  1.30  5.56  4.37 131 1003.6   4.1   2.1 999.0 99.0 99.00
2009 05 16 10 50 270 12.0 15.6  1.42  5.00  4.17 181 1004.3   3.2   2.1 999.0 99.0 99.00
2009 05 16 11 50 272 12.9 16.5  1.87  5.26  4.52 244 1005.0   2.5   2.1 999.0 99.0 99.00
2009 05 16 12 50 282 13.3 17.0  2.16  5.26  4.86 256 1005.6   1.6   2.1 999.0 99.0 99.00
2009 05 16 13 50 282 12.8 15.0  2.25  5.88  5.02 247 1006.3   1.6   2.0 999.0 99.0 99.00
2009 05 16 14 50 278 13.4 16.5  2.60  5.88  5.18 255 1006.6   1.2   2.0 999.0 99.0 99.00
2009 05 16 15 50 278 12.8 15.9  2.61  6.25  5.28 238 1007.6   1.3   2.0 999.0 99.0 99.00
2009 05 16 16 50 284 13.4 16.3  2.55  5.88  5.25 257 1008.5   0.1   2.0 999.0 99.0 99.00
2009 05 16 17 50 294 13.9 16.2  2.49  7.14  5.27 227 1009.8  -0.2   2.0 999.0 99.0 99.00
2009 05 16 18 50 287 13.1 16.2  2.48  7.69  5.52 235 1011.3  -0.2   2.1 999.0 99.0 99.00
2009 05 16 19 50 297  9.7 12.3  2.59  7.14  5.39 231 1012.6  -0.3   2.0 999.0 99.0 99.00
2009 05 16 20 50 299 12.4 14.5  2.58  7.14  5.35 227 1013.4   1.2   2.1 999.0 99.0 99.00
2009 05 16 21 50 302 12.6 15.1  2.50  7.14  5.37 234 1014.0   2.1   2.1 999.0 99.0 99.00
2009 05 16 22 50 308 12.6 15.5  2.33  5.26  5.19 289 1014.6   2.2   2.1 999.0 99.0 99.00
2009 05 16 23 50 315 13.2 16.0  2.35  5.26  5.20 274 1015.5   2.5   2.1 999.0 99.0 99.00
2009 05 17 00 50 316 10.5 12.6  2.52  5.56  5.19 277 1016.5   2.5   2.1 999.0 99.0 99.00
2009 05 17 01 50 326  8.2  9.8  2.18  5.26  5.18 289 1017.3   2.8   2.1 999.0 99.0 99.00
2009 05 17 02 50 304  6.7  8.5  1.75  5.56  5.12 280 1017.6   2.8   2.1 999.0 99.0 99.00
2009 05 17 03 50 294 10.4 12.7  1.86  5.00  4.85 300 1017.3   3.4   2.1 999.0 99.0 99.00
2009 05 17 04 50 286 10.0 11.5  1.77  4.76  4.75 293 1017.8   3.5   2.1 999.0 99.0 99.00
2009 05 17 05 50 293 10.7 12.5  1.68  6.67  4.66 229 1018.1   3.6   2.1 999.0 99.0 99.00
2009 05 17 06 50 296  8.6 10.0  1.59  6.25  4.64 230 1018.8   3.4   2.1 999.0 99.0 99.00
2009 05 17 07 50 313  9.6 12.0  1.39  4.76  4.36 275 1019.0   3.5   2.1 999.0 99.0 99.00
2009 05 17 08 50 315  8.6 10.2  1.34  5.00  4.41 262 1019.7   3.2   2.1 999.0 99.0 99.00
2009 05 17 09 50 318  8.3 10.6  1.27  5.88  4.32 228 1020.7   2.9   2.1 999.0 99.0 99.00
2009 05 17 10 50 310  7.6  9.3  1.25  4.35  4.24 302 1021.5   2.7   2.1 999.0 99.0 99.00
2009 05 17 11 50 309  7.9  9.6  1.24  4.55  4.09 308 1022.7   2.7   2.0 999.0 99.0 99.00
2009 05 17 12 50 299  8.2  9.7  1.17  4.55  4.14 305 1023.5   2.5   2.1 999.0 99.0 99.00
2009 05 17 13 50 289  7.4  9.1  0.99  4.55  4.01 312 1023.9   2.7   2.1 999.0 99.0 99.00
2009 05 17 14 50 282  7.2  8.5  0.95  4.55  3.90 310 1024.3   2.8   2.1 999.0 99.0 99.00
2009 05 17 15 50 279  5.4  6.2  0.90  4.35  3.89 310 1025.0   2.9   2.1 999.0 99.0 99.00
2009 05 17 16 50 270  5.1  5.9  0.68  3.85  3.80 312 1025.1   3.2   2.1 999.0 99.0 99.00
2009 05 17 17 50 250  2.6  3.2  0.65  3.85  3.76 318 1025.2   3.5   2.1 999.0 99.0 99.00
2009 05 17 18 50 206  4.3  4.9  0.61  3.45  3.71 298 1025.1   3.2   2.1 999.0 99.0 99.00
2009 05 17 19 50 178  3.9  4.6  0.52  3.57  3.63 310 1025.0   3.1   2.3 999.0 99.0 99.00
2009 05 17 20 50 195  5.2  6.3  0.49  3.45  3.53 291 1024.5   3.6   2.3 999.0 99.0 99.00
2009 05 17 21 50 205  4.4  5.0  0.55  3.03  3.39 247 1024.4   3.8   2.3 999.0 99.0 99.00
2009 05 17 22 50 188  3.5  4.0  0.49  3.85  3.50 232 1024.3   3.9   2.3 999.0 99.0 99.00
2009 05 17 23 50 188  4.0  5.0  0.44  3.57  3.54 238 1023.6 999.0   2.1 999.0 99.0 99.00
2009 05 18 00 50 175  3.8  4.3  0.44  3.85  3.53 241 1023.5   3.6   2.1 999.0 99.0 99.00
2009 05 18 01 50 162  5.0  5.9  0.39  3.85  3.45 240 1023.0   4.4   2.1 999.0 99.0 99.00
2009 05 18 02 50 157  5.8  6.9  0.34  3.85  3.43 238 1023.0   4.0   2.1 999.0 99.0 99.00
2009 05 18 03 50 158  6.5  7.3  0.36  2.63  3.13 236 1022.7   3.9   2.1 999.0 99.0 99.00
2009 05 18 04 50 150  5.9  6.7  0.41  2.86  3.07 193 1022.4   3.6   2.1 999.0 99.0 99.00
2009 05 18 05 50 140  6.7  7.7  0.47  2.94  3.09 191 1021.2   4.4   2.1 999.0 99.0 99.00
2009 05 18 06 50 153  7.3  8.3  0.48  3.33  3.15 186 1021.0   4.8   2.1 999.0 99.0 99.00
2009 05 18 07 50 162  6.7  7.6  0.60  3.70  3.33 172 1020.5   4.4   2.1 999.0 99.0 99.00
2009 05 18 08 50 160  6.5  7.2  0.61  3.70  3.37 183 1020.3   4.3   2.1 999.0 99.0 99.00
2009 05 18 09 50 165  6.5  7.6  0.61  3.85  3.48 170 1019.7   4.8   2.1 999.0 99.0 99.00
2009 05 18 10 50 173  7.1  7.9  0.66  4.00  3.48 160 1019.5   4.9   2.1 999.0 99.0 99.00
2009 05 18 11 50 169  7.4  9.4  0.61  3.57  3.45 183 1019.3   5.6   2.1 999.0 99.0 99.00
2009 05 18 12 50 170  5.6  6.3  0.70  4.00  3.56 183 1018.9   5.0   2.1 999.0 99.0 99.00
2009 05 18 13 50 157  5.1  5.6  0.71  4.00  3.64 188 1018.6   4.4   2.1 999.0 99.0 99.00
2009 05 18 14 50 149  5.9  6.8  0.62  4.17  3.57 191 1017.4   4.8   2.1 999.0 99.0 99.00
2009 05 18 15 50 145  6.5  7.6  0.66  3.85  3.62 190 1016.3   4.7   2.1 999.0 99.0 99.00
2009 05 18 16 50 148  8.0  9.5  0.75  4.17  3.61 190 1014.7   4.8   2.2 999.0 99.0 99.00
2009 05 18 17 50 146  6.5  7.3  0.76  4.17  3.73 173 1014.1   4.7   2.3 999.0 99.0 99.00
2009 05 18 18 50 154  5.3  6.1  0.75  4.17  3.74 171 1013.2   5.5   2.1 999.0 99.0 99.00
2009 05 18 19 50 193  7.0  8.2  0.74  4.35  3.75 175 1011.7   7.7   2.1 999.0 99.0 99.00
2009 05 18 20 50 225  8.2  9.4  0.80  4.76  3.78 155 1011.4   7.1   2.3 999.0 99.0 99.00
2009 05 18 21 50 225  6.4  7.4  0.86  4.35  3.68 168 1011.7   6.1   2.3 999.0 99.0 99.00
2009 05 18 22 50 195  4.9  5.6  0.73  4.55  3.73 160 1011.7   5.4   2.3 999.0 99.0 99.00
2009 05 18 23 50 203  5.2  6.1  0.71  4.00  3.76 214 1011.8   5.9   2.3 999.0 99.0 99.00
2009 05 19 00 50 357 10.1 12.0  0.58  4.17  3.72 182 1014.2   5.6   2.3 999.0 99.0 99.00
2009 05 19 01 50 354 10.2 12.0  0.86  3.33  3.36 326 1015.6   4.3   2.3 999.0 99.0 99.00
2009 05 19 02 50 358  9.8 11.2  1.15  4.55  3.93 337 1017.1   3.7   2.2 999.0 99.0 99.00
2009 05 19 03 50   7  8.2  9.4  1.21  5.00  4.14 340 1018.5   3.9   2.2 999.0 99.0 99.00
2009 05 19 04 50   3  5.3  6.1  1.19  5.00  4.30 334 1020.2   3.2   2.1 999.0 99.0 99.00
2009 05 19 05 50  17  4.6  5.4  0.87  4.76  4.07 344 1020.5   2.8   2.1 999.0 99.0 99.00
2009 05 19 06 50  25  7.9  9.8  0.80  4.55  3.73 349 1020.9   2.0   2.1 999.0 99.0 99.00
2009 05 19 07 50  18  7.8  9.0  0.86  4.17  3.67 354 1021.9   2.0   2.1 999.0 99.0 99.00
2009 05 19 08 50  28  6.5  8.1  0.82  4.17  3.75 355 1022.8   2.1   2.1 999.0 99.0 99.00
2009 05 19 09 50  33  6.2  7.3  0.90  4.35  3.89  20 1023.5   1.9   2.1 999.0 99.0 99.00
2009 05 19 10 50  22  6.3  7.6  0.86  4.55  3.86  29 1024.6   1.9   2.1 999.0 99.0 99.00
2009 05 19 11 50  35  6.4  7.3  1.02  4.55  4.18  39 1025.3   1.6   2.1 999.0 99.0 99.00
2009 05 19 12 50  33  6.0  6.8  0.92  4.76  4.04  54 1026.1   1.4   2.1 999.0 99.0 99.00
2009 05 19 13 50  40  5.4  6.5  0.80  4.55  3.92  48 1026.7   1.4   2.1 999.0 99.0 99.00
2009 05 19 14 50  53  5.2  6.1  0.75  4.35  3.87  51 1026.9   1.2   2.1 999.0 99.0 99.00
2009 05 19 15 50  52  4.2  5.0  0.72  4.55  3.88  55 1027.6   1.2   2.2 999.0 99.0 99.00
2009 05 19 16 50  57  3.4  4.2  0.68  4.76  3.82  62 1027.6   1.0   2.3 999.0 99.0 99.00
2009 05 19 17 50  73  3.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2009 05 19 18 50  83  2.0 99.0 99.00 99.00 99.00 999 9999.0   1.2 999.0 999.0 99.0 99.00
2009 05 19 19 50 113  1.8  2.7  0.46  4.35  3.70  75 1027.0   1.3   2.4 999.0 99.0 99.00
2009 05 19 20 50 126  1.8 99.0 99.00 99.00 99.00 999 9999.0   1.3 999.0 999.0 99.0 99.00
2009 05 19 21 50 118  2.3  3.2  0.30  3.85  3.43  66 1025.7   1.6   2.4 999.0 99.0 99.00
2009 05 19 22 50 102  3.5  4.3  0.26  3.70  3.49  65 1024.3   1.6   2.3 999.0 99.0 99.00
2009 05 19 23 50 147  5.0  5.8  0.21 99.00  3.35 999 1024.2   1.6   2.3 999.0 99.0 99.00
2009 05 20 00 50 111  3.2  3.8  0.19 99.00  3.40 999 1023.7   1.7   2.3 999.0 99.0 99.00
2009 05 20 01 50  61  5.2  6.2  0.17 99.00  3.55 999 1024.0   2.0   2.3 999.0 99.0 99.00
2009 05 20 02 50  85  7.9  9.0  0.22 99.00  3.13 999 1021.7   1.9   2.3 999.0 99.0 99.00
2009 05 20 03 50  76  7.7  9.4  0.53  2.86  3.03  92 1020.2   2.0   2.3 999.0 99.0 99.00
2009 05 20 04 50  87  8.9 10.9  0.68  3.45  3.29  96 1018.5   2.1   2.3 999.0 99.0 99.00
2009 05 20 05 50  90  7.8 10.0  0.79  3.85  3.49 106 1018.7   2.0   2.3 999.0 99.0 99.00
2009 05 20 06 50  67  8.4 10.8  0.92  4.00  3.66 110 1017.6   2.4   2.3 999.0 99.0 99.00
2009 05 20 07 50  88  9.7 11.8  1.04  4.17  3.77 113 1014.9   2.8   2.3 999.0 99.0 99.00
2009 05 20 08 50  83  9.0 10.7  1.05  4.35  3.93 108 1013.9   2.8   2.3 999.0 99.0 99.00
2009 05 20 09 50  98  7.3  8.4  1.10  4.55  4.05 106 1012.6   3.3   2.3 999.0 99.0 99.00
2009 05 20 10 50 108  8.3  9.7  1.33  4.76  4.25 123 1011.8   3.6   2.3 999.0 99.0 99.00
2009 05 20 11 50 110  8.4  9.6  1.49  5.56  4.56 136 1011.5   3.9   2.3 999.0 99.0 99.00
2009 05 20 12 50 108  7.2  8.3  1.50  5.88  4.67 126 1011.0   3.9   2.3 999.0 99.0 99.00
2009 05 20 13 50 111  5.8  7.0  1.39  6.25  4.82 121 1010.8   4.0   2.3 999.0 99.0 99.00
2009 05 20 14 50 121  6.1  7.1  1.32  6.25  4.85 121 1009.8   4.4   2.3 999.0 99.0 99.00
2009 05 20 15 50 136  5.7  6.3  1.35  6.25  4.93 113 1009.4   4.8   2.3 999.0 99.0 99.00
2009 05 20 16 50 131  4.5  4.9  1.22  6.25  4.85 118 1009.1   4.4   2.4 999.0 99.0 99.00
2009 05 20 17 50 121  3.5  3.9  1.09  5.88  4.80 116 1008.4   4.5   2.4 999.0 99.0 99.00
2009 05 20 18 50 104  3.6  5.0  1.00  5.56  4.59 110 1007.0   5.4   2.4 999.0 99.0 99.00
2009 05 20 19 50 110  4.8  5.5  0.96  5.56  4.55 117 1005.4   5.2   2.4 999.0 99.0 99.00
2009 05 20 20 50 126  4.6  5.3  0.84  5.56  4.49 120 1004.3   6.0   2.4 999.0 99.0 99.00
2009 05 20 21 50 128  2.3  3.1  0.88  5.00  4.43 120 1003.8   6.3   2.4 999.0 99.0 99.00
2009 05 20 22 50 106  2.8  4.5  0.83  5.26  4.42 123 1004.2   7.9   2.4 999.0 99.0 99.00
2009 05 20 23 50 121  3.0  4.6  0.86  5.26  4.49 127 1004.1   9.0   2.4 999.0 99.0 99.00
2009 05 21 00 50 177  4.2  4.5  0.75  5.00  4.39 130 1003.9  11.6   2.4 999.0 99.0 99.00
2009 05 21 01 50 170  5.1  5.5  0.70  5.00  4.37 120 1003.7   7.8   2.4 999.0 99.0 99.00
2009 05 21 02 50 192  5.5  6.0  0.73  5.26  4.33 114 1003.8   7.4   2.4 999.0 99.0 99.00
2009 05 21 03 50 295  3.8  4.7  0.65  5.56  4.36 108 1005.8   6.6   2.4 999.0 99.0 99.00
2009 05 21 04 50 355  6.0  7.7  0.65  5.00  4.31 113 1006.8   6.8   2.4 999.0 99.0 99.00
2009 05 21 05 50 325  1.9  2.7  0.62  5.00  4.43 120 1008.1   5.8   2.4 999.0 99.0 99.00
2009 05 21 06 50 111  2.8  4.1  0.67  5.26  4.29 141 1007.1   6.1   2.4 999.0 99.0 99.00
2009 05 21 07 50 180  2.4  3.3  0.80  5.56  4.60 146 1007.9   5.1   2.4 999.0 99.0 99.00
2009 05 21 08 50 326  4.5  6.7  0.80  5.88  4.58 137 1008.5   5.9   2.4 999.0 99.0 99.00
2009 05 21 09 50 331  6.9  8.0  0.78  5.88  4.53 137 1009.2   5.7   2.4 999.0 99.0 99.00
2009 05 21 10 50 336  6.6  7.8  0.71  5.56  4.55 154 1010.5   5.5   2.4 999.0 99.0 99.00
2009 05 21 11 50 341  7.5  8.9  0.66  5.26  4.08 173 1011.6   5.5   2.4 999.0 99.0 99.00
2009 05 21 12 50   4  4.0  5.1  0.67  4.76  3.73 174 1012.5   4.8   2.4 999.0 99.0 99.00
2009 05 21 13 50 360  2.2  2.6  0.54  5.00  3.67 188 1013.5   4.5   2.4 999.0 99.0 99.00
2009 05 21 14 50 236  1.9  2.3  0.46  5.26  3.82 223 1014.9   3.8   2.4 999.0 99.0 99.00
