#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 16 17 50 112  1.9  2.2  0.14 99.00  3.35 999 1008.3   3.1   2.3 999.0 99.0 99.00
2008 05 16 18 50 117  4.0  4.8  0.17  3.85  3.44 152 1006.7   3.1   2.3 999.0 99.0 99.00
2008 05 16 19 50 117  4.4  4.9  0.17  4.17  3.42 146 1005.4   3.2   2.1 999.0 99.0 99.00
2008 05 16 20 50 116  4.5  5.1  0.17  3.85  3.37 155 1004.6   3.1   2.1 999.0 99.0 99.00
2008 05 16 21 50 124  4.8  5.8  0.18  3.85  3.30 162 1003.8   3.1   2.1 999.0 99.0 99.00
2008 05 16 22 50 119  5.5  6.6  0.21  2.50  3.24 111 1002.7   3.1   2.1 999.0 99.0 99.00
2008 05 16 23 50 139 10.8 12.2  0.37  2.86  2.94 162 1000.3   3.5   2.1 999.0 99.0 99.00
2008 05 17 00 50 144  9.5 11.6  0.65  3.23  3.08 161  999.5   4.0   2.0 999.0 99.0 99.00
2008 05 17 01 50 155  6.4  8.1  0.65  3.57  3.37 168  999.6   4.4   2.0 999.0 99.0 99.00
2008 05 17 02 50 204  4.1  5.0  0.74  3.85  3.55 179  999.8   4.0   2.0 999.0 99.0 99.00
2008 05 17 03 50 296  2.4  3.1  0.58  3.85  3.47 163 1000.1   2.8   2.0 999.0 99.0 99.00
2008 05 17 04 50 287  3.5  4.0  0.49  3.85  3.52 143  999.6   3.2   2.0 999.0 99.0 99.00
2008 05 17 05 50 313  4.5  5.3  0.40  3.57  3.41 142  999.0   3.1   2.0 999.0 99.0 99.00
2008 05 17 06 50 301  4.4  5.3  0.28  3.70  3.36 130  999.0   3.2   2.0 999.0 99.0 99.00
2008 05 17 07 50 286  5.2  6.0  0.24  3.70  3.36 122  999.0   3.8   2.0 999.0 99.0 99.00
2008 05 17 08 50 286  5.8  6.5  0.23  3.70  3.13 114  998.7   4.4   2.0 999.0 99.0 99.00
2008 05 17 09 50 277  6.5  7.7  0.27  2.63  2.97 272  998.7   4.4   2.0 999.0 99.0 99.00
2008 05 17 10 50 218  5.2  6.0  0.34  2.94  3.02 262  998.7   3.6   2.0 999.0 99.0 99.00
2008 05 17 11 50 236  6.9  8.2  0.35  2.94  2.99 266  998.0   4.3   2.0 999.0 99.0 99.00
2008 05 17 12 50 243  7.2  8.1  0.41  3.03  3.02 258  997.8   4.6   2.0 999.0 99.0 99.00
2008 05 17 13 50 242  6.5  7.5  0.54  3.23  3.18 252  997.5   4.0   2.0 999.0 99.0 99.00
2008 05 17 14 50 257  6.6  7.4  0.58  3.23  3.28 261  997.3   4.8   2.1 999.0 99.0 99.00
2008 05 17 15 50 256  5.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 05 17 16 50 256  6.7  7.4  0.55  3.70  3.32 244  996.6   4.6   2.1 999.0 99.0 99.00
2008 05 17 17 50 313  2.8  3.3  0.53  3.57  3.31 253  997.3   4.4   2.1 999.0 99.0 99.00
2008 05 17 18 50 331  2.6  3.2  0.54  4.00  3.46 232  997.4   5.0   2.1 999.0 99.0 99.00
2008 05 17 19 50 207  2.5  3.3  0.53  3.85  3.52 240  997.5   4.0   2.1 999.0 99.0 99.00
2008 05 17 20 50 287  2.1  3.0  0.50  4.00  3.52 222  998.7   5.4   2.1 999.0 99.0 99.00
2008 05 17 21 50 243  2.7  3.0  0.48  4.17  3.65 218  998.1   4.7   2.1 999.0 99.0 99.00
2008 05 17 22 50 277  3.8  4.9  0.56  4.55  3.72 212  998.6   4.9   2.1 999.0 99.0 99.00
2008 05 17 23 50 283  4.6  5.1  0.62  4.55  3.90 213  998.7   4.4   2.1 999.0 99.0 99.00
2008 05 18 00 50 289  4.1  5.1  0.53  4.76  3.77 218  999.5   3.4   2.1 999.0 99.0 99.00
2008 05 18 01 50 348  5.4  6.2  0.69  5.00  3.91 216 1000.3   4.5   2.1 999.0 99.0 99.00
2008 05 18 02 50 358  5.5  6.5  0.67  5.00  3.83 224 1000.9   4.0   2.1 999.0 99.0 99.00
2008 05 18 03 50 353  7.1  8.2  0.69  5.00  3.89 228 1001.1   4.1   2.0 999.0 99.0 99.00
2008 05 18 04 50 355  6.6  7.8  0.71  4.76  3.65 228 1001.7   3.6   2.0 999.0 99.0 99.00
2008 05 18 05 50 358  7.5  8.5  0.63  3.70  3.59 333 1001.9   3.3   2.0 999.0 99.0 99.00
2008 05 18 06 50 358  7.1  8.4  0.61  3.57  3.48 349 1001.9   3.2   2.0 999.0 99.0 99.00
2008 05 18 07 50 348  6.9  8.5  0.66  3.85  3.52 347 1002.0   3.1   2.0 999.0 99.0 99.00
2008 05 18 08 50 349  8.1  9.4  0.82  3.85  3.61 344 1001.7   2.9   2.0 999.0 99.0 99.00
2008 05 18 09 50 342  7.5  8.8  0.82  4.35  3.66 334 1002.1   2.9   2.0 999.0 99.0 99.00
2008 05 18 10 50 341  7.3  8.9  0.83  4.17  3.72 347 1002.7   2.8   2.0 999.0 99.0 99.00
2008 05 18 11 50 352  7.9  9.0  0.83  4.17  3.65 344 1002.9   2.7   2.0 999.0 99.0 99.00
2008 05 18 12 50 356  9.4 11.4  1.02  4.55  3.84 334 1003.2   2.5   2.0 999.0 99.0 99.00
2008 05 18 13 50 353 11.6 16.5  1.16  4.55  4.06 347 1003.3   1.9   2.0 999.0 99.0 99.00
2008 05 18 14 50 347  9.4 11.3  1.33  5.00  4.18 342 1003.5   2.2   2.0 999.0 99.0 99.00
2008 05 18 15 50 343  9.1 10.9  1.46  5.00  4.39 344 1003.2   2.4   2.1 999.0 99.0 99.00
2008 05 18 16 50 342  8.1  9.3  1.27  5.56  4.38 343 1003.5   2.8   2.1 999.0 99.0 99.00
2008 05 18 17 50 334  7.9  9.2  1.20  5.00  4.24 345 1003.0   3.2   2.1 999.0 99.0 99.00
2008 05 18 18 50 307  6.1  7.1  1.09  5.00  4.24 344 1003.0   3.4   2.1 999.0 99.0 99.00
2008 05 18 19 50 274  3.6  5.0  0.98  5.00  4.21 340 1003.0   3.3   2.1 999.0 99.0 99.00
2008 05 18 20 50 320  5.3  5.9  0.82  5.00  4.06 345 1003.0   4.4   2.1 999.0 99.0 99.00
2008 05 18 21 50 346  6.4  7.1  0.69  4.76  3.83 342 1002.9   4.7   2.1 999.0 99.0 99.00
2008 05 18 22 50 352  6.7  7.8  0.72  4.35  3.81 349 1002.9   4.8   2.1 999.0 99.0 99.00
2008 05 18 23 50 279  5.5  6.8  0.73  4.35  3.80 350 1003.4   4.0   2.1 999.0 99.0 99.00
2008 05 19 00 50 999 99.0  9.2  0.72  4.55  3.72 351 1003.1 999.0   2.1 999.0 99.0 99.00
2008 05 19 01 50 328  6.6  7.5  0.87  4.55  3.83 354 1003.6   4.3   2.1 999.0 99.0 99.00
2008 05 19 02 50 326  6.6  7.8  0.78  4.55  3.71 349 1003.8   4.5   2.1 999.0 99.0 99.00
2008 05 19 03 50 313  5.9  6.5  0.76  4.00  3.67 333 1003.8   3.9   2.1 999.0 99.0 99.00
2008 05 19 04 50 304  5.8  6.5  0.61  3.85  3.51 325 1003.8   3.9   2.1 999.0 99.0 99.00
2008 05 19 05 50 311  5.6  6.5  0.50  3.85  3.41 329 1003.6   3.9   2.1 999.0 99.0 99.00
